"tid";"accession"
116680;"Q8NHB7"
105535;"D2Y1A6"
104805;"P22303"
104512;"Q07523"
108126;"P27732"
109501;"P30313"
109572;"Q13351"
105832;"P0A4C4"
10767;"P09811"
104706;"O15399"
104317;"Q6XUX3"
101253;"P43219"
19650;"Q95J97"
109746;"Q96Q40"
12752;"P13053"
104749;"P53609"
107945;"P11802"
109746;"Q07002"
101074;"P0C2J9"
106197;"P28062"
102868;"O86309"
10220;"P06757"
104033;"P10451"
105682;"Q8VIH9"
12938;"P00730"
104795;"P11229"
114818;"Q07011"
12609;"Q7Z4W1"
105832;"Q8CWS9"
102455;"P43095"
109588;"O60346"
105830;"P0ADZ0"
12900;"P42264"
116464;"Q9NY65"
104638;"Q9NYB5"
11462;"P80041"
104763;"D4A3N4"
101608;"Q9NYK1"
232;"P06858"
326;"P9WGY9"
104761;"P27732"
100957;"Q5PY51"
116825;"Q13185"
100630;"P22459"
105683;"P02919"
104301;"P28473"
12866;"P22310"
101375;"P22079"
104597;"Q3ZKN1"
104715;"P26048"
102985;"O51933"
11313;"P17342"
106199;"F2SG63"
106552;"A9XFY4"
104255;"P97698"
109909;"Q6ZQW0"
