"tid";"molregno";"disease_efficacy"
104725;1376006;1
104725;77652;1
104725;1223;1
104725;11674;1
104725;72430;1
104725;161649;1
104725;119162;1
104725;227917;1
104725;674941;1
104725;1280;1
104725;674564;1
104725;674755;1
104725;674535;1
104725;674711;1
104725;173;1
104725;40536;1
104725;16308;1
104725;675075;1
104725;16510;1
104725;674964;1
104725;1369655;1
104725;674815;1
104725;674414;1
104725;29989;1
104725;33202;1
104725;675092;1
104725;139225;1
104725;12417;1
104725;11968;1
104725;93117;1
104725;16591;1
104727;68607;1
104727;453046;1
104729;27029;1
105024;794445;1
105024;674520;1
105024;16485;1
105024;5797;1
105024;381693;1
105024;674529;1
105048;37493;1
105048;674640;1
105048;226851;1
105048;263453;1
105048;556;1
105058;386457;1
105058;68396;1
105058;674906;1
105058;36864;1
104918;674826;1
104951;674431;1
104787;675463;1
104787;1510461;1
104787;1355856;1
104787;548594;1
104787;674364;1
104787;674824;1
104787;674742;1
104787;1941483;1
104787;674738;1
104787;524710;1
104789;674846;1
104789;674376;1
104789;675119;1
104789;1449160;1
104852;405366;1
104852;5582;1
104852;8516;1
104852;674825;1
104852;139286;1
104852;454070;1
104852;56131;1
104852;248669;1
104852;46727;1
104852;46726;1
104888;17411;1
104888;822010;1
104188;675367;1
104791;4730;1
104791;581569;1
104791;480382;1
104791;624161;1
104791;674934;1
104799;450864;1
104799;716337;1
104799;33576;1
104799;674436;1
104799;675684;1
104799;1277553;1
104801;699483;1
104801;486789;1
104801;545509;1
104801;675680;1
104801;674935;1
104801;250508;1
104801;419596;1
104801;674756;1
104801;674353;1
104801;674277;1
104801;365248;1
104801;554892;1
104801;405365;1
104803;360720;1
104803;394996;1
104805;355897;1
104805;27251;1
104805;508604;1
104335;675785;1
104335;675781;1
104398;452635;1
104288;699433;1
104288;742171;1
104288;235211;1
104292;675576;1
104293;675488;1
104593;1379603;1
223;84644;1
104987;1926907;1
104987;675070;1
104987;15990;1
104987;433015;1
104987;1376011;1
104988;674633;1
104988;32869;1
123;281549;1
137;518361;1
137;674494;1
137;674998;1
137;446784;1
137;1543312;1
137;76963;1
137;1355867;1
272;674988;1
56;674536;1
56;52087;1
56;249414;1
56;674999;1
56;717;1
56;328400;1
56;674574;1
56;1363818;1
56;190629;1
56;674286;1
56;674897;1
56;674387;1
56;675052;1
56;364520;1
56;377718;1
56;630886;1
56;674363;1
56;405364;1
168;940358;1
168;674739;1
168;674891;1
43;631810;1
43;34094;1
43;674395;1
43;674844;1
43;675012;1
43;1280054;1
43;674356;1
43;631502;1
43;675111;1
43;1153493;1
43;642083;1
43;1355849;1
43;1503109;1
43;674763;1
43;674977;1
43;675104;1
43;674898;1
43;27570;1
43;675682;1
43;674696;1
43;674314;1
43;675014;1
43;505776;1
43;8543;1
43;546564;1
43;674871;1
43;675128;1
43;674821;1
43;8531;1
43;674369;1
43;675066;1
113;544765;1
76;504310;1
203;675582;1
250;399361;1
250;675733;1
194;397524;1
194;328601;1
19914;421208;1
329;175106;1
328;43740;1
170;1369651;1
170;50440;1
170;674928;1
170;581819;1
153;141484;1
206;675548;1
106172;365189;1
106172;397074;1
106172;497291;1
106172;466768;1
106173;84251;1
106173;1369649;1
106173;699421;1
106174;1369649;1
106175;1369604;1
106176;674793;1
106176;86784;1
106177;675777;1
106177;675399;1
106178;8167;1
106178;64200;1
106179;674348;1
106179;674783;1
106179;56831;1
106179;674444;1
106180;393942;1
106181;1377932;1
106182;798263;1
106183;37820;1
106196;674404;1
106135;1121861;1
106135;675774;1
106136;675774;1
106136;1121861;1
106137;1153494;1
106138;1380301;1
106138;1380836;1
106138;675360;1
106139;675387;1
106140;1121865;1
106141;699374;1
106142;675779;1
106143;1153495;1
106144;675484;1
105732;674992;1
105733;674339;1
105733;188457;1
106166;1369610;1
106167;1380975;1
106167;1369610;1
106197;520664;1
106197;187372;1
106198;675082;1
106199;16303;1
106200;29637;1
106200;26590;1
106200;406787;1
106201;406787;1
106201;29637;1
106201;26590;1
101608;250908;1
101608;529987;1
58;13494;1
58;675000;1
58;27308;1
58;72036;1
58;8917;1
58;27986;1
58;259959;1
58;444419;1
58;13758;1
58;674299;1
58;674389;1
58;334337;1
58;674676;1
58;674349;1
58;674787;1
126;21697;1
126;264453;1
126;20496;1
126;139210;1
126;67010;1
126;18694;1
126;26431;1
87;1449169;1
87;4496;1
27;41644;1
27;48701;1
27;1364024;1
27;674801;1
27;365284;1
27;365538;1
27;674405;1
27;149095;1
27;674331;1
27;74284;1
27;675061;1
162;503213;1
162;43952;1
162;674466;1
162;193281;1
162;674943;1
162;1926820;1
162;1926755;1
162;674733;1
162;23199;1
162;675129;1
10460;1449151;1
11206;11305;1
191;24418;1
191;88100;1
191;213505;1
191;17347;1
191;674685;1
191;17169;1
191;37316;1
191;372438;1
191;675078;1
191;563318;1
191;674629;1
105574;10898;1
176;630396;1
176;551003;1
176;416772;1
176;675724;1
47;674754;1
47;230999;1
47;594843;1
47;675716;1
47;674886;1
47;445395;1
47;1418097;1
47;1594639;1
47;229058;1
47;170395;1
47;1102940;1
100079;1277553;1
100079;674436;1
100079;450864;1
100079;33576;1
181;1380933;1
181;675578;1
181;675787;1
181;675487;1
10918;675684;1
105686;675072;1
105686;675067;1
105709;171062;1
105709;674708;1
105709;674592;1
105709;674944;1
105709;699450;1
105709;674500;1
105709;674673;1
105709;674478;1
105709;567201;1
105709;101924;1
105709;674599;1
105709;101810;1
105709;522483;1
105709;674580;1
105738;33576;1
105739;261343;1
105743;33986;1
105741;33986;1
105742;33986;1
105744;33576;1
105745;674584;1
105746;674584;1
105747;284208;1
105747;674684;1
105747;238429;1
105747;674645;1
105747;85649;1
105747;238127;1
105748;454382;1
105749;1542157;1
105750;674934;1
105751;8193;1
105752;369179;1
105752;674734;1
105752;8193;1
105753;564990;1
105753;230444;1
105753;8193;1
105757;1376013;1
105758;61945;1
105759;674903;1
105759;46385;1
105759;674716;1
105760;547681;1
105761;27029;1
105762;674826;1
105763;14125;1
105764;495572;1
105764;2208;1
105765;119498;1
105766;33216;1
105766;169652;1
105766;4193;1
105768;485738;1
106002;1347272;1
101567;529987;1
104770;465356;1
104770;419508;1
104770;581814;1
104770;1926906;1
104688;284208;1
104688;635;1
104688;1369640;1
104688;2431;1
104688;674654;1
104688;721;1
104688;421334;1
104688;16506;1
104688;99389;1
104688;111390;1
104688;27648;1
104688;27419;1
104688;2524;1
104688;2465;1
104688;674684;1
104688;49847;1
104688;674753;1
104688;674933;1
104688;151300;1
104688;1359038;1
104688;16959;1
104688;238429;1
104688;19469;1
104688;2408;1
104688;38588;1
104688;674741;1
104688;674371;1
104688;95969;1
104688;65728;1
104688;11819;1
104688;674423;1
104688;2327;1
104688;95978;1
104688;674854;1
104688;674645;1
104688;95909;1
104688;675016;1
104688;38569;1
104688;29090;1
104688;674553;1
104688;95970;1
104688;85649;1
104688;238127;1
104688;366279;1
104688;674740;1
105087;1104074;1
105087;421332;1
105769;361469;1
105770;674920;1
105771;675712;1
105771;674449;1
105771;674686;1
105771;246;1
105771;65351;1
105771;674730;1
105772;57175;1
105773;674507;1
105773;674641;1
106168;2095;1
106168;806511;1
106168;2265;1
106168;1159;1
106168;949710;1
106168;675112;1
106168;674861;1
106168;674367;1
106168;2247;1
106168;674272;1
106168;153330;1
106168;674302;1
106168;2130;1
106168;2484;1
106168;32842;1
106168;2131;1
106168;674310;1
106168;2525;1
106168;204115;1
106169;1216;1
106169;674866;1
106169;675031;1
106170;111491;1
106170;373856;1
106170;674895;1
106171;1359040;1
106171;35271;1
106210;674375;1
106210;674649;1
106210;674896;1
106162;675388;1
106212;1378015;1
105683;674994;1
105683;674942;1
105683;466810;1
105683;674969;1
105683;454576;1
105683;674806;1
105683;1418075;1
105683;24806;1
105683;674803;1
105683;61680;1
105683;478059;1
105683;624296;1
105683;674308;1
105683;674922;1
105683;674916;1
105683;675069;1
105683;674997;1
105683;674540;1
105683;674481;1
105683;1674197;1
105683;674970;1
105683;674495;1
105683;674474;1
105683;84624;1
105683;1672484;1
105683;674433;1
105683;674623;1
105683;1926822;1
105683;485902;1
105683;229172;1
105683;674719;1
105683;674946;1
105683;454578;1
105683;143284;1
105683;305519;1
105683;675049;1
105683;430642;1
105683;604643;1
